No,username,country,math,implementation,geometry,bitmasks,brute force,binary search,dp,greedy,chinese remainder theorem,fft,sortings,number theory,constructive algorithms,trees,matrices,divide and conquer,probabilities,dfs and similar,data structures,flows,meet-in-the-middle,games,graphs,shortest paths,hashing,strings,combinatorics,interactive,dsu,graph matchings,two pointers,string suffix structures,2-sat,expression parsing,*special,ternary search,schedules,total
26,KimGongju,Vietnam,13639.0381,17840.92143,430,551.9,4700.616667,2076,4580.6,11419.37143,238,0,4248.066667,3892.616667,7323.304762,653,0,108.2833333,225,1711.566667,3407.438095,353,0,1215.333333,2315.704762,312.7,989.9333333,3356.166667,1791,0.25,648.0333333,87.5,1378.488095,0,187.5,0,175,380.6666667,0,90237
27,s34vv1nd,Vietnam,23031.64286,31395.42619,2240.416667,1101.5,12706.8,8518.133333,16652.23333,19880.00952,244,0,6495.583333,6246.783333,13743.35952,3908.066667,0,696.9166667,0.333333333,6391.3,12603.60952,150.3333333,481.6666667,762.1666667,8156.492857,1933.25,928.65,6606.233333,5140.666667,175.8333333,2418.233333,169,2797.959524,260.4,446,355.8333333,1135.833333,90.33333333,0,197865
28,duyboy135,Vietnam,28910.10952,45292.48571,4469.083333,3470.866667,20656.54286,11187.22619,26657.45,29138.31667,0,0,14333.37619,9929.759524,18315.88333,6346.45,150,2466,1938.933333,11741.07381,18181.68333,307.3333333,956.9333333,4316.333333,11811.44048,2479.333333,1734,7829.233333,7691.933333,893.3333333,4835.9,640.2666667,6894.019048,187.5,607.5,155.2,577.5,150,225,305478
29,_Rampage_,Vietnam,27228.05,23600.96667,4643.416667,4135.416667,9873.147619,10392.69762,16773.06667,15514.73095,244.5,0,5232.116667,9277.333333,16285.51667,5956.65,525.3333333,1161,626.3333333,6621.764286,17474.89762,1400.833333,993,1121,8657.864286,1473.380952,1575.75,4241.7,6102.9,377.7,1273,375,2599.35,538.5,0,37.5,251,450.5833333,225,207261
30,farmerboy,Vietnam,76800.32143,105575.0738,15767.23333,6297.216667,34817.90238,15387.43571,37884.5381,53526.00238,244.5,1,25913.53571,13554.21905,31885.01905,8853.016667,740.6666667,2620.583333,9599.45,13568.41667,23093.14048,289.3,536.35,2672.25,15277.23571,2741.2,5279.702381,21634.73571,8652.8,1584.25,5736.916667,50,6230.452381,2134.285714,787.5,690.6666667,958,337.0833333,0,551722
31,pazabol,Vietnam,17687.95476,17541.10476,789.3333333,943.1666667,6652.952381,3706.521429,9805.152381,14748.81905,0,0,5626.202381,3432.285714,13417.36667,2700,200.3333333,775.25,112.8333333,3565.166667,5785.771429,0,348.8,2081.5,3289.985714,376.6666667,821.7,2124.083333,4095.966667,376.5,1189.916667,0,1755.333333,0,0,150,150.3333333,0,0,124251
32,dknguyen176,Vietnam,23907.62738,27893.25952,2914.866667,862.4761905,10309.82619,7877.125,12649.50833,23442.67381,0,150,10476.41429,6556.358333,11382.90714,5290.14881,390,150.7833333,0,4060.99881,7838.027381,842.9166667,264.4,3723.833333,5559.789286,1242.933333,1313.25,4343.92619,4433.85,338.0833333,3189.733333,323.3333333,4296.366667,0,0,0.333333333,5.25,350,0,186381
33,6aren,Vietnam,14789.21667,16222.37619,887.5,1617.833333,6348.42619,4820.178571,9256.3,13596.31905,245.5,600.3333333,4340.683333,4305.666667,8156.830952,2026.885714,0,313.7833333,723.25,2990.235714,5265.069048,1.5,277.75,1117.833333,2534.516667,383.6428571,1159,2517.342857,3287.833333,1916.666667,3485.07619,64.28571429,1192.664286,0,0,0,0,412.5,0,114857
34,Combi,Vietnam,21607.9,28450.96667,3207.25,2794,11225.5381,4698.433333,15146.03333,15351.1,650,0.2,6247.454762,5008.983333,12133.20476,4009.654762,1112.5,850.2,1279.7,3865.133333,7828.621429,31.33333333,0,2602.416667,3476.821429,473.1666667,1201.5,3894.866667,4853.95,340.5,2157.266667,87.5,2951.971429,0,0,0,175,105.8333333,225,168044
35,Tourist_Sa_Dec,Vietnam,12282.67619,12737.67619,348,1.333333333,4212.211905,1836.785714,4809.47619,12312.49524,0,75,4102.066667,2815.366667,3573.366667,1741.5,0,256.25,0,1650.769048,3481.428571,0,295.25,753,1947.935714,812.6190476,331.25,3312.759524,1184.083333,125.3333333,1269.583333,0,1601.783333,200,0,0,75,0,0,78145
36,low_,Vietnam,22324.68333,25773.13333,1838.166667,3909.683333,13973.54286,9915.92619,8372.783333,20329.09286,0.2,330,9434.8,3921.8,11675.18333,3183.666667,143,300.3333333,748,3435.842857,6622.509524,858.5833333,0.25,1244.083333,3932.309524,1150.22619,644.0833333,4080.5,3679.833333,2067.866667,2454.5,278.5,1814.916667,0,0,0,0,330,0,168768
37,______-__________-______,Vietnam,5852.72619,7889.309524,856,1221.866667,4321.4,2128.242857,4165.916667,4618.87619,0,0,368.3666667,2188.916667,4306.7,854.3428571,0,0.2,488.6666667,942.5333333,2839.459524,0.2,0,1,427.7333333,0,271.6666667,1509.666667,1581.5,435,0.533333333,125.3428571,1323.833333,120,0,0,0,0,0,48840
38,Dragon_Fly_02,Vietnam,14018.66667,13082.61667,2056.583333,646.5,11134.86667,7390.666667,8571.516667,9058.916667,0,0.333333333,4176.7,4674.166667,8412.333333,4688.383333,495,1665,760,2779.633333,11510.4,1450.333333,0,249,3968.966667,1838.25,566.2833333,2929.566667,3708.666667,637.5,1292.5,0,1278.783333,388.0333333,0,0,0,240.8333333,0,123671
39,Leafy_,Vietnam,20406.58095,17975.32619,3911.416667,3486.892857,8962.4,4223.733333,21848.95,16606.74524,0,150,6420.852381,7087.9,11526.12857,7887.766667,1.166666667,1606.27619,240.3333333,5594.071429,16355.10714,1218.833333,257.3,850,7707.185714,1638.666667,1783.916667,3906.45,2962.05,525.3333333,1751.183333,600,2107.283333,220,0,0,186.2,502.95,225,180734
40,UncleGrandpa,Vietnam,62991.12857,59592.25238,5477.416667,8802.95,27231.54524,20777.8,36690.55952,44606.74286,0,244.0833333,17224.35476,13935.26905,29582.03333,14256.82619,797.8333333,5408.516667,20604.05952,18900.54286,41240.02143,1166.092857,399.3333333,4240.916667,18487.99286,2094.666667,2917.5,15278.71667,10281.56667,20919.68333,6272.359524,655.2,9194.069048,686.6333333,60,631.3333333,18487.75,657.25,0,540795
41,vhnvn,Vietnam,38518.65,48160.71667,4616.75,4299.433333,18833.7,8805.816667,12103.23571,30985.00238,0,0,11473.05238,10160.73333,22583.05238,7133.752381,75.83333333,1206.533333,487.4,6220.085714,11761.73333,645.5833333,0.583333333,2798.583333,7825.802381,2820.733333,1420.166667,5445.616667,5366.516667,1228.333333,3473.116667,624,3108.95,0,0,0.333333333,55,0.2,0,272239
42,Gnoud__,Vietnam,10112.23333,5708.416667,2101.583333,1065.5,3956.583333,1364.9,10430.91667,8500.183333,0,150,4819.15,2523.65,6785.6,2658.9,376.1666667,865,90,2831.033333,7486.5,504.75,120,0,3356.2,873.25,1371.916667,835.45,2127.833333,150,1194.75,0,809.6166667,100,0,0,0,616.9166667,0,83887
43,63170049DacDD,Vietnam,4731.333333,2981.866667,1,216,2331.842857,297.5,1986.166667,3530.666667,0,0,1327.142857,929.1666667,1963.842857,610.3095238,0,0,500.3333333,216,168.6428571,0,0,509.3333333,665.5095238,0,271.2,216,1459.333333,0,0,0,887.1428571,0,0,0,0,296.6666667,0,26097
44,I_love_Vovuh_s_cat,Vietnam,3659.785714,2745.035714,441.75,213.5,4055.390476,1516.488095,1473.2,7305.188095,0,159,2836.452381,2123.035714,3910.583333,352.0833333,0.333333333,235.2,0,1077.904762,1411.97381,0,0,0,560.5714286,156.5714286,0,1481.583333,984.1666667,604.6666667,433.5833333,0,691.6190476,0.333333333,0,0,25,0,0,38455
45,puppies_and_rainbows,Vietnam,1243.333333,1825.833333,0,637,1534.333333,317.6666667,1854.5,2451.166667,0,0,1133.166667,1368.666667,1706.333333,0,0.333333333,945,0,225,2027.166667,0,0,1362,225,0,0,0,678.6666667,0,0,0,1080.5,0,0,0.333333333,0,0,0,20616
46,lacitirc,Vietnam,7894.916667,3779.416667,1060.333333,1077.583333,3714.583333,2540.116667,7487.116667,5324.15,0,226,2295.583333,3832.833333,2487.25,2765.033333,576.25,875.8333333,704,1043.616667,4706.15,75.66666667,168.75,225,1678.95,629,197.5,1578,1924.5,101,621.5833333,75,525.95,240.3333333,0,0,0,0,0,60432
47,congthanh123,Vietnam,34168.46667,41244.97619,5118.25,2503.533333,13079.36667,6353.333333,12544.50238,26281.87857,244,0,8753.285714,9290.783333,17267.25238,2457.769048,0.333333333,880.7833333,115.7333333,4966.461905,7158.542857,0,612.0833333,1923.666667,4432.861905,812.9833333,559.05,6337.842857,4215.333333,1011.083333,2193.692857,0,3246.15,60,0,0,0,0,0,217834
48,Greenstock,Vietnam,1678.559524,2314.042857,0,0.833333333,945.1261905,0.25,1479.422857,1499.22619,0,0,488.5,1089.583333,743.8333333,0,0,0,0,150,454.0761905,0,0,0,0,0,340.8,603.6928571,276.43,395.3333333,0,0,289.85,340.8,0,0,0,0,0,13090.36
49,.____.,Vietnam,16252.88333,23499.63333,1695,628.8333333,9160.233333,4052.283333,4776.142857,11488.75952,0,0,4118.892857,5129.616667,10442.64286,3194.142857,238.6666667,280.6666667,0,1803.642857,2919.75,0.333333333,297.6,663,1803.609524,0.333333333,234.8,2953.916667,3351.433333,545.75,301.3333333,0,1502.1,0,0,0,75,125,0,111536
50,unk2001,Vietnam,5161.566667,4115.383333,1025.5,1595.566667,4353.85,1798.083333,7220.433333,7774.033333,0.2,0,2999.233333,1947.833333,4486.433333,3320.7,0,946.9833333,262.5,2408.816667,5713.083333,1000.25,0,812,2608.683333,250,270,2350.5,668.5333333,0.4,3313.333333,250,1870.1,120,0.333333333,0,0,52.66666667,0,68697
51,MakeSPGreatAgain,Vietnam,4801.345238,2101.735714,1825,1694.75,1667.095238,1114.75,8263.809524,3812.616667,243,0,1549.045238,647.7857143,2697.833333,2108.333333,0,732.5,507.1428571,2738.333333,4721.928571,445.9761905,0.25,50,2656.833333,722.9166667,0.25,1208.95,742.75,0,165,0,898.0690476,0,0,0,28,90,0,48236
52,bvd,Vietnam,41209.06429,75797.75238,6876.088095,4108.4,23543.45,13387.6119,25056.6619,44620.69048,0,0.333333333,13760.17857,8864.383333,27888.11667,7221.135714,0,1480.238095,1262.266667,8831.109524,15702.4881,1095.533333,287.6,1117.5,13052.1,2032.664286,2066.666667,14503.33333,6047.533333,2180.95,3500.45,60.2,7546,60,210.3333333,541,488.8333333,694.3333333,0,375095
53,Sixaren,Vietnam,7729.233333,5139.666667,0,1861.133333,2555.216667,188,3980.216667,4856.55,0,0.333333333,3348.033333,3568.25,3966.483333,681.5666667,0.333333333,453.6666667,0,1098.083333,879.6666667,437.75,0,450,1327.233333,273,776.75,1421.416667,911.75,0,660.3333333,0,0.5,338.5,0,0.333333333,0,0,0,46904
54,ImForbiddenToSayILoveYou,Vietnam,32335.47727,38761.26667,3776.166667,4597.393939,12952.26061,6808.060606,16664.69394,24096.02727,245.5,200.3333333,9073.916667,4730.193939,14934.33333,7302.310606,0,560.3333333,676.6666667,6860.916667,14872.99394,1578.833333,596.95,1200.333333,8289.333333,1713.416667,1043.916667,6023.977273,5690.866667,548.8333333,3754.193939,643.3333333,2244,175.3333333,150,0,187.5,383.3333333,225,233898
55,Mbfibat,Vietnam,16772.42262,14822.2,2401.5,2575.92619,7797.135714,5444.494048,9992.20119,15974.34048,0,401,7345.604762,6058.708333,9100.414286,3588.417857,400.3333333,1828.233333,481.9166667,4016.608333,7964.608333,711,200.25,705.8333333,6487.465476,3266.369048,586.45,3005.75,3476.166667,425.5833333,1620.483333,0,2270.083333,60,150,0,0,798.5,0,140730
56,darkkcyan,Vietnam,55543.52143,74171.96429,8031.5,6669.5,27549.90476,21634.89286,40208.60476,44810.22857,243,304,21481.66905,16668.35,35386.94762,10776.91905,1200.333333,2415.75,3573.45,12080.33095,21832.33333,1355.6,820,3302.5,14948.27619,3765.466667,2866.938095,15864.03095,8935.933333,3289.25,5174.516667,312.5,7847.633333,555.5714286,294,997,359.5833333,1279,0,476551
57,DCSVNQuangVinhMuonNam,Vietnam,1769.666667,467.9166667,0,1064.75,522.2,0.166666667,1048.2,1370.116667,0,0,1134.166667,899.75,1627.166667,0,0,0.2,0,0.5,357.6166667,0,0,0.333333333,913,237.6666667,0,1.083333333,774.1666667,0.333333333,0,0,0,0,0,0,0,0,0,12189
58,hiThere23,Vietnam,51308.29286,79267.13333,6401.516667,6033.25,30134.91667,19497.83095,34835.44048,48584.19762,0,324,22921.53333,13372.66667,32852.53095,12301.8381,911.6666667,1949.45,375.3333333,14711.73333,29561.24762,755,1031.733333,3798.8,17950.8,4565.916667,3175.252381,15834.01905,9161.4,3128.75,6353.516667,350,6385.697619,1091.785714,408,888.3333333,299.5833333,661.8333333,225,481410
59,HopefullySky,Vietnam,5112.166667,3649,0,0,437.1666667,684.3333333,1347.533333,4686.833333,0,0,2510,931.2,1298.166667,804.2,0,0,0,459.8666667,924.5333333,0,0,0,891.3333333,481.5,485,1532.333333,1382,0,550.3333333,0,0.5,0,0,0,0,0,0,28168
60,l0s3r,Vietnam,16743.79286,21201.95952,1124.5,1794.333333,7516.242857,3490.533333,16447.77619,16876.60952,0,75,4290.266667,4005.2,6171.2,1422.666667,0,500.65,0,2699.066667,7365.57619,0.2,0,237.8333333,3337.816667,1395.25,621.5333333,4598.342857,2063.833333,0.583333333,1330.866667,50.2,1275.833333,246,0,0.333333333,400,0,0,127284
61,Hezx,Vietnam,6546.166667,8364.95,1,2942.033333,4660.9,2480.716667,10026.65,9502.783333,0,0,4045.7,2669,3595.2,3249.316667,0.833333333,355.3333333,0,4263.75,7083.116667,638.75,0,1230,4010.65,1395.4,1413.25,1860.083333,2638.333333,405.3333333,2649.683333,0,950.5333333,0,150,0,315.2,58.33333333,225,87728
62,sieunhan,Vietnam,4353.60119,3912.892857,815.3333333,1110.333333,1801.059524,1185.541667,1642.017857,2573.72619,0,0,905.25,196.875,2955,196.875,0,0,0,406.875,1248.184524,0,0,162.3333333,719.2083333,0.333333333,0,465.8928571,1273.916667,414.75,0,0,228,0,0,0,0,0,0,26568
63,lazyc97,Vietnam,15809.20238,22341.22619,3326.383333,3853.17619,9752.92619,7481.116667,17705.48571,18276.84286,100,200.9166667,8961.083333,4874.45,8874.559524,5434.009524,702.3333333,1212.583333,1443.5,7634.042857,14787.98571,375.3333333,337.5,714.8333333,5477.983333,1302.75,1107.75,4236.309524,2616.633333,384.7,3176.4,250.2,3430.75,625.8333333,274.7,0,390,708.5,0,178182
64,EmperorQT,Vietnam,10145.2619,8383.045238,1218.083333,445.3333333,3499.416667,2678.333333,4495.366667,9352.995238,211.5,0,2242.45,3704.833333,5080.595238,890.0333333,0,85.16666667,0.333333333,547.8333333,2833.795238,0,0,695.5,2087.295238,506.7,0,2095.416667,937.5833333,331.5,988.8666667,0,2301.761905,0,0,0,0,120,0,65879
